,Nvidia_Price,Nvidia_Vol.,Date,Timestamp
255,62.9,18980000.0,2020-02-07,1581008400.0
256,65.74,52960000.0,2020-02-10,1581267600.0
257,66.97,63860000.0,2020-02-11,1581354000.0
258,68.14,37460000.0,2020-02-12,1581440400.0
259,67.69,52800000.0,2020-02-13,1581526800.0
260,72.45,104190000.0,2020-02-14,1581613200.0
261,74.14,62190000.0,2020-02-18,1581958800.0
262,78.67,69430000.0,2020-02-19,1582045200.0
263,77.17,81010000.0,2020-02-20,1582131600.0
264,73.52,76930000.0,2020-02-21,1582218000.0
265,68.32,85690000.0,2020-02-24,1582477200.0
266,65.51,105550000.0,2020-02-25,1582563600.0
267,66.91,74970000.0,2020-02-26,1582650000.0
268,63.15,90640000.0,2020-02-27,1582736400.0
269,67.52,113470000.0,2020-02-28,1582822800.0
270,69.11,89070000.0,2020-03-02,1583082000.0
271,66.47,65280000.0,2020-03-03,1583168400.0
272,71.13,59740000.0,2020-03-04,1583254800.0
273,68.32,54030000.0,2020-03-05,1583341200.0
274,66.51,51540000.0,2020-03-06,1583427600.0
275,61.36,61420000.0,2020-03-09,1583686800.0
276,65.27,58060000.0,2020-03-10,1583773200.0
277,61.62,50210000.0,2020-03-11,1583859600.0
278,54.08,81650000.0,2020-03-12,1583946000.0
279,60.21,63480000.0,2020-03-13,1584032400.0
280,49.1,72700000.0,2020-03-16,1584291600.0
281,54.32,83360000.0,2020-03-17,1584378000.0
282,50.7,87430000.0,2020-03-18,1584464400.0
283,53.24,76550000.0,2020-03-19,1584550800.0
284,51.44,80460000.0,2020-03-20,1584637200.0
285,53.17,64390000.0,2020-03-23,1584896400.0
286,62.3,110160000.0,2020-03-24,1584982800.0
287,61.41,79340000.0,2020-03-25,1585069200.0
288,64.31,69760000.0,2020-03-26,1585155600.0
289,63.18,63880000.0,2020-03-27,1585242000.0
290,66.4,60230000.0,2020-03-30,1585501200.0
291,65.9,95000000.0,2020-03-31,1585587600.0
292,60.77,65690000.0,2020-04-01,1585674000.0
293,63.87,67580000.0,2020-04-02,1585760400.0
294,60.98,66319999.99999999,2020-04-03,1585846800.0
295,67.1,72790000.0,2020-04-06,1586106000.0
296,64.76,78450000.0,2020-04-07,1586192400.0
297,66.74,54240000.0,2020-04-08,1586278800.0
298,65.74,52620000.0,2020-04-09,1586365200.0
299,67.46,39840000.0,2020-04-13,1586710800.0
300,70.99,53090000.0,2020-04-14,1586797200.0
301,70.21,36610000.0,2020-04-15,1586883600.0
302,73.67,74560000.0,2020-04-16,1586970000.0
303,73.08,53910000.0,2020-04-17,1587056400.0
304,71.76,44940000.0,2020-04-20,1587315600.0
305,67.38,73520000.0,2020-04-21,1587402000.0
306,71.54,48470000.0,2020-04-22,1587488400.0
307,71.0,42420000.0,2020-04-23,1587574800.0
308,72.4,35260000.0,2020-04-24,1587661200.0
309,74.27,47940000.0,2020-04-27,1587920400.0
310,72.84,44290000.0,2020-04-28,1588006800.0
311,74.61,37920000.0,2020-04-29,1588093200.0
312,73.07,37590000.0,2020-04-30,1588179600.0
313,70.69,34210000.0,2020-05-01,1588266000.0
314,72.82,31760000.0,2020-05-04,1588525200.0
315,73.44,36890000.0,2020-05-05,1588611600.0
316,74.45,32350000.0,2020-05-06,1588698000.0
317,76.22,37370000.0,2020-05-07,1588784400.0
318,78.12,33990000.0,2020-05-08,1588870800.0
319,80.66,46910000.0,2020-05-11,1589130000.0
320,78.03,49310000.0,2020-05-12,1589216400.0
321,77.8,62590000.0,2020-05-13,1589302800.0
322,80.31,60230000.0,2020-05-14,1589389200.0
323,84.91,98770000.0,2020-05-15,1589475600.0
324,87.5,77640000.0,2020-05-18,1589734800.0
325,88.06,71730000.0,2020-05-19,1589821200.0
326,89.7,58750000.0,2020-05-20,1589907600.0
327,87.75,76110000.0,2020-05-21,1589994000.0
328,90.26,103880000.0,2020-05-22,1590080400.0
329,85.25,117590000.0,2020-05-27,1590512400.0
330,84.87,73610000.0,2020-05-28,1590598800.0
331,88.75,74590000.0,2020-05-29,1590685200.0
332,88.06,39050000.0,2020-06-01,1590944400.0
333,88.25,39130000.0,2020-06-02,1591030800.0
334,87.69,36540000.0,2020-06-03,1591117200.0
335,87.67,42430000.0,2020-06-04,1591203600.0
336,89.2,48170000.0,2020-06-05,1591290000.0
337,88.05,38770000.0,2020-06-08,1591549200.0
338,90.46,46850000.0,2020-06-09,1591635600.0
339,93.67,63220000.0,2020-06-10,1591722000.0
340,87.96,58370000.0,2020-06-11,1591808400.0
341,89.33,57090000.0,2020-06-12,1591894800.0
342,91.74,40000000.0,2020-06-15,1592154000.0
343,90.69,53570000.0,2020-06-16,1592240400.0
344,92.36,40830000.0,2020-06-17,1592326800.0
345,92.18,25440000.0,2020-06-18,1592413200.0
346,92.61,52420000.0,2020-06-19,1592499600.0
347,95.27,39850000.0,2020-06-22,1592758800.0
348,94.5,37510000.0,2020-06-23,1592845200.0
349,92.36,44940000.0,2020-06-24,1592931600.0
350,94.9,37610000.0,2020-06-25,1593018000.0
351,91.55,59210000.0,2020-06-26,1593104400.0
352,92.0,34220000.0,2020-06-29,1593363600.0
353,94.98,36790000.0,2020-06-30,1593450000.0
354,95.3,32660000.0,2020-07-01,1593536400.0
355,96.12,36410000.0,2020-07-02,1593622800.0
356,98.72,35780000.0,2020-07-07,1594054800.0
357,102.16,36550000.0,2020-07-08,1594141200.0
358,105.09,49450000.0,2020-07-09,1594227600.0
359,104.79,49770000.0,2020-07-10,1594314000.0
360,100.52,45710000.0,2020-07-13,1594573200.0
361,103.77,54270000.0,2020-07-14,1594659600.0
362,102.27,40400000.0,2020-07-15,1594746000.0
363,101.35,34500000.0,2020-07-16,1594832400.0
364,102.02,26630000.0,2020-07-17,1594918800.0
365,105.11,28490000.0,2020-07-20,1595178000.0
366,103.29,27770000.0,2020-07-21,1595264400.0
367,104.39,36730000.0,2020-07-22,1595350800.0
368,101.3,41170000.0,2020-07-23,1595437200.0
369,101.94,47330000.0,2020-07-24,1595523600.0
370,104.21,29210000.0,2020-07-27,1595782800.0
371,102.15,27160000.0,2020-07-28,1595869200.0
372,104.65,28450000.0,2020-07-29,1595955600.0
373,106.14,30890000.0,2020-07-30,1596042000.0
374,106.15,38630000.0,2020-07-31,1596128400.0
375,110.1,41300000.0,2020-08-03,1596387600.0
376,112.28,31030000.0,2020-08-04,1596474000.0
377,112.87,25050000.0,2020-08-05,1596560400.0
378,113.36,24430000.0,2020-08-06,1596646800.0
379,112.0,34250000.0,2020-08-07,1596733200.0
380,111.65,42780000.0,2020-08-10,1596992400.0
381,108.5,35450000.0,2020-08-11,1597078800.0
382,114.4,46490000.0,2020-08-12,1597165200.0
383,114.43,37450000.0,2020-08-13,1597251600.0
384,115.64,36640000.0,2020-08-14,1597338000.0
385,123.37,62130000.0,2020-08-17,1597597200.0
386,122.61,50340000.0,2020-08-18,1597683600.0
387,121.39,62260000.0,2020-08-19,1597770000.0
388,121.41,92140000.0,2020-08-20,1597856400.0
389,126.83,99990000.0,2020-08-21,1597942800.0
390,127.2,49060000.0,2020-08-24,1598202000.0
391,127.5,28910000.0,2020-08-25,1598288400.0
392,127.73,32120000.0,2020-08-26,1598374800.0
393,126.28,31760000.0,2020-08-27,1598461200.0
394,131.48,53720000.0,2020-08-28,1598547600.0
395,133.74,50080000.0,2020-08-31,1598806800.0
396,138.21,51250000.0,2020-09-01,1598893200.0
397,143.46,87400000.0,2020-09-02,1598979600.0
398,130.15,94510000.0,2020-09-03,1599066000.0
399,126.22,146370000.0,2020-09-04,1599152400.0
400,127.15,73620000.0,2020-09-09,1599584400.0
401,123.12,69870000.0,2020-09-10,1599670800.0
402,121.64,63690000.0,2020-09-11,1599757200.0
403,128.72,120170000.0,2020-09-14,1600016400.0
404,129.91,72760000.0,2020-09-15,1600102800.0
405,125.14,55760000.0,2020-09-16,1600189200.0
406,124.64,79250000.0,2020-09-17,1600275600.0
407,121.89,69850000.0,2020-09-18,1600362000.0
408,125.17,72100000.0,2020-09-21,1600621200.0
409,126.38,64650000.00000001,2020-09-22,1600707600.0
410,121.24,64700000.0,2020-09-23,1600794000.0
411,123.48,73120000.0,2020-09-24,1600880400.0
412,128.74,58800000.0,2020-09-25,1600966800.0
413,130.35,57380000.0,2020-09-28,1601226000.0
414,132.26,62300000.0,2020-09-29,1601312400.0
415,135.3,68920000.0,2020-09-30,1601398800.0
416,136.15,52500000.0,2020-10-01,1601485200.0
417,130.62,55250000.0,2020-10-02,1601571600.0
418,136.43,47980000.0,2020-10-05,1601830800.0
419,137.37,78440000.0,2020-10-06,1601917200.0
420,139.64,41810000.0,2020-10-07,1602003600.0
