,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.
364,17-07-2020,1.718,110720.0,40.59,88220.0
365,20-07-2020,1.641,165620.0,40.81,60180.0
366,21-07-2020,1.675,131340.0,41.96,25620.0
367,22-07-2020,1.681,118420.0,41.9,333650.0
368,23-07-2020,1.785,122590.0,41.07,389410.0
369,24-07-2020,1.808,71800.0,41.29,353160.0
370,27-07-2020,1.734,37480.0,41.6,377710.0
371,28-07-2020,1.8,32530.0,41.04,276800.0
372,29-07-2020,1.854,4060.0,41.27,295860.0
373,30-07-2020,1.829,165710.0,39.92,487330.0
374,31-07-2020,1.799,112250.0,40.27,318790.0
375,03-08-2020,2.101,381970.0,41.01,338330.0
376,04-08-2020,2.193,230890.0,41.7,451580.0
377,05-08-2020,2.191,182430.0,42.19,491270.0
378,06-08-2020,2.165,161990.0,41.95,359610.0
379,07-08-2020,2.238,206250.0,41.22,399000.0
380,10-08-2020,2.153,207910.0,41.94,367800.0
381,11-08-2020,2.171,166070.0,41.61,432840.0
382,12-08-2020,2.152,175920.0,42.67,397830.0
383,13-08-2020,2.182,173310.0,42.24,329510.0
384,14-08-2020,2.356,229930.0,42.01,310870.0
385,17-08-2020,2.339,143940.0,42.89,208430.0
386,18-08-2020,2.417,141590.0,42.89,111630.0
387,19-08-2020,2.426,112840.0,42.93,81300.0
388,20-08-2020,2.352,146660.0,42.58,27430.0
389,21-08-2020,2.448,134960.0,42.34,345370.0
390,24-08-2020,2.513,101300.0,42.62,294730.0
391,25-08-2020,2.489,43870.0,43.35,330800.0
392,26-08-2020,2.461,37630.0,43.39,262240.0
393,27-08-2020,2.579,2600.0,43.04,320970.0
394,28-08-2020,2.657,152900.0,42.97,272800.0
395,31-08-2020,2.63,203890.0,42.61,236880.0
396,01-09-2020,2.527,228380.0,42.76,285150.0
397,02-09-2020,2.486,257130.0,41.51,421770.0
398,03-09-2020,2.487,146080.0,41.37,417630.0
399,04-09-2020,2.588,165240.0,39.77,444180.0
400,09-09-2020,2.406,201390.0,38.05,455360.0
401,10-09-2020,2.323,139970.0,37.3,367560.0
402,11-09-2020,2.269,123020.0,37.33,363790.0
403,14-09-2020,2.31,151170.0,37.26,347560.0
404,15-09-2020,2.362,114510.0,38.28,348860.0
405,16-09-2020,2.267,119390.0,40.16,367610.0
406,17-09-2020,2.042,238360.0,40.97,280670.0
407,18-09-2020,2.048,146580.0,41.11,73760.0
408,21-09-2020,1.835,256630.0,39.31,66200.0
409,22-09-2020,1.834,102270.0,39.6,23220.0
410,23-09-2020,2.125,100580.0,39.93,318750.0
411,24-09-2020,2.248,60480.0,40.31,269990.0
